general	1	Z ilu graj¹cych zawodników sk³ada siê zwykle dru¿yna pi³ki no¿nej?	9	10	11	12	C	1
general	2	Na jakim instrumencie gra koncertmistrz w orkiestrze?	skrzypce	bêbny	flet	tr¹bka	A	3
general	3	Hippofobia to strach przed jakimi zwierzêtami?	konie	hipopotamy	psy	ryby	A	2
general	4	Z ilu pól sk³ada siê standardowa plansza do gry w Scrabble?	125	225	325	625	B	2
general	5	Który z podanych kolorów nie znajduje siê w logo firmy Google?	¿ó³ty	zielony	niebieski	czarny	D	1
general	6	Jaki typ krwi wystêpuje u ludzi najrzadziej?	AB+	AB-	0	B-	B	2
general	7	Z jak¹ dyscyplin¹ sportow¹ kojarzona jest Joanna Jêdrzejczyk?	MMA	p³ywanie	bieganie	siatkówka	A	2
general	8	Która planeta znajduje siê najbli¿ej Ziemi?	Wenus	Mars	Merkury	Saturn	A	1
general	9	Who is the author of the Harry Potter series?	Agatha Christie	J. K. Rowling	Charles Dickens	Mark Twain	B	1
general	10	What country was the first to introduce license plates?	England	France	Germany	USA	B	3
general	11	W którym miesi¹cu Ziemia znajduje siê najbli¿ej s³oñca?	kwiecieñ	lipiec	styczeñ	grudniu	C	2
general	12	Kto uwolni³ Prometeusza przykutego do ska³y na Kaukazie?	Zeus	Herakles	Artemida	Japet	B	2
general	13	Jak w celtyckiej legendzie mia³a na imiê ukochana Tristana?	Keira	Erin	Izolda	Ula	C	3
general	14	Jak nazywa siê w jêzyku polskim odejœcie od g³ównego tematu wypowiedzi?	refren	epifora	oksymoron	dygresja	D	2
general	15	Kaszalot jest gatunkiem jakiego zwierzêcia?	delfin	orka	waleñ	rekin	D	3
general	16	O którym zwierzêciu mówi siê, ¿e zawsze spada na cztery ³apy?	koñ	pies	kot	paj¹k	C	1
general	17	Która z podanuych gór jest najwy¿sza?	£ysica	£ysiec	£ysa Góra	Œwiêty Krzy¿	B	3
general	18	Która firma wyprodukowa³a pierwszy komputer z systemem Windows?	NEC	Acer	HP	IBM	D	2
general	19	Jakie zwierzê jest najpopularniejszym zwierzêciem szkolnym na œwiecie?	szczur	œwinka morska	królik	mysz	B	1
general	20	Ile zêbów ma cz³owiek?	38	28	36	32	D	2
music	21	Kto uzyska³ propozycje wykonania piosenki Wrecking Ball zanim zrobi³a to Miley Cyrus?	Shakira	Beyonce	Jeniffer Lopez	Nicki Minaj	B	2
music	22	Jak mia³a na imiê znana polska wokalistka Kora?	Olga	Kora	Agnieszka	Karolina	A	2
music	23	Jakim przebojem zadebiutowa³a Cleo?	Zabiorê Nas	My S³owianie	Za Krokiem Krok	Kocham	B	1
music	24	W którym roku umar³ Michael Jackson?	1989	1999	2009	2019	C	1
music	25	Jakiej narodowoœci by³ Freddy Mercury?	Niemcem	Brytyjczykiem	Amerykaninem	Australijczykiem	B	2
music	26	W swoim przeboju Tyle S³oñca w Ca³ym Mieœcie, Anna Jantar spiewa³a: Szerokimi ulicami...	biegn¹ razem pan i pani	id¹ wielce zakochani	spaceruje pan i pani	nios¹ szczêœcie zakochani	D	2
science	27	Które s³owo jest przyimkiem w zdaniu: Przed szko³¹ stoi tata.	przed	szko³¹	stoi	tata	A	1
general	28	W powieœci pt.: Wesele, S. Wyspiañskiego, kto wpada na pomys³ zaproszenia Chocho³a?	Rachela	Wernyhora	Gospodarz	Dziad	A	3
general	29	Gdzie zosta³ utworzony pierwszy park rozrywki poœwiêcony klockom Lego?	Francja	USA	Dania	Niemcy	C	2
general	30	Kto zaprojektowa³ pomnik Nike Warszawy?	Xawery Dunikowski	Marian Konieczny	Adam Konieczny	Ludwik Nitschow	C	3
music	31	Kto jest g³ównym wykonawc¹ utworu Despacito?	Luis Fonsi	Daddy Yankee	Erika Ender	Roberto Carlos	A	1
music	32	Kto skomponowa³ Sonatê Ksiê¿ycow¹?	Mozart	Liszt	Chopin	Beethoven	D	1
general	33	Z którego kontynentu pochodzi drzewo moreli?	Azja	Europa	Afryka	Ameryka Po³udniowa	A	2
history	34	Kto stworzy³ o³tarz w Koœciele Mariackim?	Adam Kraft	Tilman Riemenschneider	Wit Stwosz	Jan D³ugosz	C	1
music	35	Ile balonów wystêpuje w przeboju niemieckiej wokalistki Neny z 1983 roku?	88	99	109	66	B	3
music	36	Z czego wykonane s¹ klawisze pianina?	plastik	marmur	porcelana	koœæ s³oniowa	A	2
general	37	Bohaterkami jakiego utworu s¹ Oluchna i Pietrucha?	Do Wac³awa Zamoyskiego	Nagrobki zbieranej dru¿yny	Elegia	¯eñcy	D	3
geography	38	Jak nazywa siê najd³u¿szy lewy dop³yw Wis³y?	San	Pilica	Bzura	Wieprz	B	3
general	39	Jakie imiona nosz¹ amerykañskie tenisistki, siostry Williams?	Serena i Venus	Isha i Yetunde	Serena i Lyndrea	Isha i Venus	A	1
general	40	Czerwony kur - co tak dawniej okreœlano?	indyk	kogut	alarm	po¿ar	D	2
general	41	Z jakich owoców produkowana jest wódka Kirsz?	wiœnie	brzoskwinie	jab³ka	gruszki	A	2
general	42	Co musia³ dŸwigaæ na barkach tytan Atlas?	worek ziemniaków	g³az	sklepienie niebieskie	swoich braci	C	2
history	43	Kto by³ pierwszym prezydentem USA?	R. Reagan	G. Bush	B. Obama	G. Washington	D	1
history	44	Jaka wojna rozpoczê³a siê w roku 1939 i zakoñczy³a w 1945?	I wojna œwiatowa	II wojna œwiatowa	Wojna Wietnamska	Wojna o Falklandy-Malwiny	B	1
history	45	Jaki by³ oryginalny kolor statu³y wolnoœci?	zielony	niebieski	miedziany	¿ó³ty	C	2
history	46	Kto w 135 roku zniszczy³ Jerozolimê?	Rosjanie	¯ydzi	Grecy	Rzymianie	D	2
history	47	Dok¹d p³yn¹³ Titanic?	Japonii	USA	Indii	Afryki	B	1
history	48	Kogo by³y prezydent Kuby, Fidel Castro, wyznaczy³ na swojego nastêpce?	Fulgencio Batista	Raúla Castro	Miguela Díaz-Canel	José Agripino Barnet	B	3
history	49	Jak nazywa³ siê ch³op, faworyt rodziny cara Miko³aja II?	Rasputin	Mendelejew	Romanow	Fidorow	A	1
history	50	W którym roku upad³o cesarstwo rzymskie?	753 p.n.e.	23 p.n.e.	476 n.e.	331 n.e.	C	2
history	51	W którym roku za³o¿ono Rzym?	753 p.n.e.	23 p.n.e.	476 n.e.	331 n.e.	A	2
history	52	Z jakiego kraju pochodzi Buddyzm?	Chiny	Tybet	Mongolia	Nepal	D	3
history	53	Co spowodowa³o, ¿e Titanic zaton¹³?	sztorm	góra lodowa	awaria silnika	jego masa	B	1
history	54	When was the computer mouse invented?	1978	1988	1964	1991	C	3
